"","Type","Location","Count","Quarter","Year","Value","Time_Number","Time_String"
"1","Mental health-related presentations","Australia","Number","3","2014",59028,2014.5,"Q3 2014"
"2","Mental health-related presentations","Australia","Number","3","2015",64627,2015.5,"Q3 2015"
"3","Mental health-related presentations","Australia","Number","3","2016",66986,2016.5,"Q3 2016"
"4","Mental health-related presentations","Australia","Number","3","2017",68152,2017.5,"Q3 2017"
"5","Mental health-related presentations","Australia","Number","3","2018",72903,2018.5,"Q3 2018"
"6","Mental health-related presentations","Australia","Number","3","2019",76500,2019.5,"Q3 2019"
"7","Mental health-related presentations","Australia","Number","3","2020",77811,2020.5,"Q3 2020"
"8","Mental health-related presentations","Australia","Number","3","2021",70657,2021.5,"Q3 2021"
"9","Mental health-related presentations","Australia","Number","4","2014",66862,2014.75,"Q4 2014"
"10","Mental health-related presentations","Australia","Number","4","2015",72431,2015.75,"Q4 2015"
"11","Mental health-related presentations","Australia","Number","4","2016",71056,2016.75,"Q4 2016"
"12","Mental health-related presentations","Australia","Number","4","2017",74523,2017.75,"Q4 2017"
"13","Mental health-related presentations","Australia","Number","4","2018",78319,2018.75,"Q4 2018"
"14","Mental health-related presentations","Australia","Number","4","2019",82004,2019.75,"Q4 2019"
"15","Mental health-related presentations","Australia","Number","4","2020",79879,2020.75,"Q4 2020"
"16","Mental health-related presentations","Australia","Number","4","2021",74527,2021.75,"Q4 2021"
"17","Mental health-related presentations","Australia","Number","1","2014",66364,2014,"Q1 2014"
"18","Mental health-related presentations","Australia","Number","1","2015",72290,2015,"Q1 2015"
"19","Mental health-related presentations","Australia","Number","1","2016",71419,2016,"Q1 2016"
"20","Mental health-related presentations","Australia","Number","1","2017",73913,2017,"Q1 2017"
"21","Mental health-related presentations","Australia","Number","1","2018",78553,2018,"Q1 2018"
"22","Mental health-related presentations","Australia","Number","1","2019",80173,2019,"Q1 2019"
"23","Mental health-related presentations","Australia","Number","1","2020",77913,2020,"Q1 2020"
"24","Mental health-related presentations","Australia","Number","1","2021",69063,2021,"Q1 2021"
"25","Mental health-related presentations","Australia","Number","2","2014",62647,2014.25,"Q2 2014"
"26","Mental health-related presentations","Australia","Number","2","2015",68328,2015.25,"Q2 2015"
"27","Mental health-related presentations","Australia","Number","2","2016",67493,2016.25,"Q2 2016"
"28","Mental health-related presentations","Australia","Number","2","2017",70397,2017.25,"Q2 2017"
"29","Mental health-related presentations","Australia","Number","2","2018",73565,2018.25,"Q2 2018"
"30","Mental health-related presentations","Australia","Number","2","2019",71794,2019.25,"Q2 2019"
"31","Mental health-related presentations","Australia","Number","2","2020",74054,2020.25,"Q2 2020"
"32","Mental health-related presentations","Australia","Number","2","2021",65929,2021.25,"Q2 2021"
"33","Mental health-related presentations","Australia","Per cent","3","2014",23,2014.5,"Q3 2014"
"34","Mental health-related presentations","Australia","Per cent","3","2015",23,2015.5,"Q3 2015"
"35","Mental health-related presentations","Australia","Per cent","3","2016",24,2016.5,"Q3 2016"
"36","Mental health-related presentations","Australia","Per cent","3","2017",24,2017.5,"Q3 2017"
"37","Mental health-related presentations","Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"38","Mental health-related presentations","Australia","Per cent","3","2019",25,2019.5,"Q3 2019"
"39","Mental health-related presentations","Australia","Per cent","3","2020",25,2020.5,"Q3 2020"
"40","Mental health-related presentations","Australia","Per cent","3","2021",25,2021.5,"Q3 2021"
"41","Mental health-related presentations","Australia","Per cent","4","2014",26,2014.75,"Q4 2014"
"42","Mental health-related presentations","Australia","Per cent","4","2015",26,2015.75,"Q4 2015"
"43","Mental health-related presentations","Australia","Per cent","4","2016",26,2016.75,"Q4 2016"
"44","Mental health-related presentations","Australia","Per cent","4","2017",26,2017.75,"Q4 2017"
"45","Mental health-related presentations","Australia","Per cent","4","2018",26,2018.75,"Q4 2018"
"46","Mental health-related presentations","Australia","Per cent","4","2019",26,2019.75,"Q4 2019"
"47","Mental health-related presentations","Australia","Per cent","4","2020",26,2020.75,"Q4 2020"
"48","Mental health-related presentations","Australia","Per cent","4","2021",27,2021.75,"Q4 2021"
"49","Mental health-related presentations","Australia","Per cent","1","2014",26,2014,"Q1 2014"
"50","Mental health-related presentations","Australia","Per cent","1","2015",26,2015,"Q1 2015"
"51","Mental health-related presentations","Australia","Per cent","1","2016",26,2016,"Q1 2016"
"52","Mental health-related presentations","Australia","Per cent","1","2017",26,2017,"Q1 2017"
"53","Mental health-related presentations","Australia","Per cent","1","2018",26,2018,"Q1 2018"
"54","Mental health-related presentations","Australia","Per cent","1","2019",26,2019,"Q1 2019"
"55","Mental health-related presentations","Australia","Per cent","1","2020",25,2020,"Q1 2020"
"56","Mental health-related presentations","Australia","Per cent","1","2021",25,2021,"Q1 2021"
"57","Mental health-related presentations","Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
"58","Mental health-related presentations","Australia","Per cent","2","2015",25,2015.25,"Q2 2015"
"59","Mental health-related presentations","Australia","Per cent","2","2016",24,2016.25,"Q2 2016"
"60","Mental health-related presentations","Australia","Per cent","2","2017",25,2017.25,"Q2 2017"
"61","Mental health-related presentations","Australia","Per cent","2","2018",24,2018.25,"Q2 2018"
"62","Mental health-related presentations","Australia","Per cent","2","2019",23,2019.25,"Q2 2019"
"63","Mental health-related presentations","Australia","Per cent","2","2020",24,2020.25,"Q2 2020"
"64","Mental health-related presentations","Australia","Per cent","2","2021",24,2021.25,"Q2 2021"
"65","Mental health-related presentations","New South Wales","Number","3","2014",20093,2014.5,"Q3 2014"
"66","Mental health-related presentations","New South Wales","Number","3","2015",22367,2015.5,"Q3 2015"
"67","Mental health-related presentations","New South Wales","Number","3","2016",23077,2016.5,"Q3 2016"
"68","Mental health-related presentations","New South Wales","Number","3","2017",22263,2017.5,"Q3 2017"
"69","Mental health-related presentations","New South Wales","Number","3","2018",24541,2018.5,"Q3 2018"
"70","Mental health-related presentations","New South Wales","Number","3","2019",25166,2019.5,"Q3 2019"
"71","Mental health-related presentations","New South Wales","Number","3","2020",23031,2020.5,"Q3 2020"
"72","Mental health-related presentations","New South Wales","Number","3","2021",20491,2021.5,"Q3 2021"
"73","Mental health-related presentations","New South Wales","Number","4","2014",23356,2014.75,"Q4 2014"
"74","Mental health-related presentations","New South Wales","Number","4","2015",25842,2015.75,"Q4 2015"
"75","Mental health-related presentations","New South Wales","Number","4","2016",24371,2016.75,"Q4 2016"
"76","Mental health-related presentations","New South Wales","Number","4","2017",24645,2017.75,"Q4 2017"
"77","Mental health-related presentations","New South Wales","Number","4","2018",26770,2018.75,"Q4 2018"
"78","Mental health-related presentations","New South Wales","Number","4","2019",26017,2019.75,"Q4 2019"
"79","Mental health-related presentations","New South Wales","Number","4","2020",23817,2020.75,"Q4 2020"
"80","Mental health-related presentations","New South Wales","Number","4","2021",23264,2021.75,"Q4 2021"
"81","Mental health-related presentations","New South Wales","Number","1","2014",23454,2014,"Q1 2014"
"82","Mental health-related presentations","New South Wales","Number","1","2015",25744,2015,"Q1 2015"
"83","Mental health-related presentations","New South Wales","Number","1","2016",24219,2016,"Q1 2016"
"84","Mental health-related presentations","New South Wales","Number","1","2017",24871,2017,"Q1 2017"
"85","Mental health-related presentations","New South Wales","Number","1","2018",26760,2018,"Q1 2018"
"86","Mental health-related presentations","New South Wales","Number","1","2019",24582,2019,"Q1 2019"
"87","Mental health-related presentations","New South Wales","Number","1","2020",23621,2020,"Q1 2020"
"88","Mental health-related presentations","New South Wales","Number","1","2021",21081,2021,"Q1 2021"
"89","Mental health-related presentations","New South Wales","Number","2","2014",21566,2014.25,"Q2 2014"
"90","Mental health-related presentations","New South Wales","Number","2","2015",24071,2015.25,"Q2 2015"
"91","Mental health-related presentations","New South Wales","Number","2","2016",22592,2016.25,"Q2 2016"
"92","Mental health-related presentations","New South Wales","Number","2","2017",23311,2017.25,"Q2 2017"
"93","Mental health-related presentations","New South Wales","Number","2","2018",24698,2018.25,"Q2 2018"
"94","Mental health-related presentations","New South Wales","Number","2","2019",20916,2019.25,"Q2 2019"
"95","Mental health-related presentations","New South Wales","Number","2","2020",22610,2020.25,"Q2 2020"
"96","Mental health-related presentations","New South Wales","Number","2","2021",20445,2021.25,"Q2 2021"
"97","Mental health-related presentations","New South Wales","Per cent","3","2014",23,2014.5,"Q3 2014"
"98","Mental health-related presentations","New South Wales","Per cent","3","2015",23,2015.5,"Q3 2015"
"99","Mental health-related presentations","New South Wales","Per cent","3","2016",24,2016.5,"Q3 2016"
"100","Mental health-related presentations","New South Wales","Per cent","3","2017",23,2017.5,"Q3 2017"
"101","Mental health-related presentations","New South Wales","Per cent","3","2018",24,2018.5,"Q3 2018"
"102","Mental health-related presentations","New South Wales","Per cent","3","2019",26,2019.5,"Q3 2019"
"103","Mental health-related presentations","New South Wales","Per cent","3","2020",25,2020.5,"Q3 2020"
"104","Mental health-related presentations","New South Wales","Per cent","3","2021",24,2021.5,"Q3 2021"
"105","Mental health-related presentations","New South Wales","Per cent","4","2014",26,2014.75,"Q4 2014"
"106","Mental health-related presentations","New South Wales","Per cent","4","2015",26,2015.75,"Q4 2015"
"107","Mental health-related presentations","New South Wales","Per cent","4","2016",26,2016.75,"Q4 2016"
"108","Mental health-related presentations","New South Wales","Per cent","4","2017",26,2017.75,"Q4 2017"
"109","Mental health-related presentations","New South Wales","Per cent","4","2018",26,2018.75,"Q4 2018"
"110","Mental health-related presentations","New South Wales","Per cent","4","2019",27,2019.75,"Q4 2019"
"111","Mental health-related presentations","New South Wales","Per cent","4","2020",26,2020.75,"Q4 2020"
"112","Mental health-related presentations","New South Wales","Per cent","4","2021",27,2021.75,"Q4 2021"
"113","Mental health-related presentations","New South Wales","Per cent","1","2014",27,2014,"Q1 2014"
"114","Mental health-related presentations","New South Wales","Per cent","1","2015",26,2015,"Q1 2015"
"115","Mental health-related presentations","New South Wales","Per cent","1","2016",26,2016,"Q1 2016"
"116","Mental health-related presentations","New South Wales","Per cent","1","2017",26,2017,"Q1 2017"
"117","Mental health-related presentations","New South Wales","Per cent","1","2018",26,2018,"Q1 2018"
"118","Mental health-related presentations","New South Wales","Per cent","1","2019",25,2019,"Q1 2019"
"119","Mental health-related presentations","New South Wales","Per cent","1","2020",25,2020,"Q1 2020"
"120","Mental health-related presentations","New South Wales","Per cent","1","2021",25,2021,"Q1 2021"
"121","Mental health-related presentations","New South Wales","Per cent","2","2014",24,2014.25,"Q2 2014"
"122","Mental health-related presentations","New South Wales","Per cent","2","2015",25,2015.25,"Q2 2015"
"123","Mental health-related presentations","New South Wales","Per cent","2","2016",24,2016.25,"Q2 2016"
"124","Mental health-related presentations","New South Wales","Per cent","2","2017",25,2017.25,"Q2 2017"
"125","Mental health-related presentations","New South Wales","Per cent","2","2018",24,2018.25,"Q2 2018"
"126","Mental health-related presentations","New South Wales","Per cent","2","2019",22,2019.25,"Q2 2019"
"127","Mental health-related presentations","New South Wales","Per cent","2","2020",24,2020.25,"Q2 2020"
"128","Mental health-related presentations","New South Wales","Per cent","2","2021",24,2021.25,"Q2 2021"
"129","Mental health-related presentations","Victoria","Number","3","2014",11155,2014.5,"Q3 2014"
"130","Mental health-related presentations","Victoria","Number","3","2015",12797,2015.5,"Q3 2015"
"131","Mental health-related presentations","Victoria","Number","3","2016",12721,2016.5,"Q3 2016"
"132","Mental health-related presentations","Victoria","Number","3","2017",13709,2017.5,"Q3 2017"
"133","Mental health-related presentations","Victoria","Number","3","2018",15162,2018.5,"Q3 2018"
"134","Mental health-related presentations","Victoria","Number","3","2019",15914,2019.5,"Q3 2019"
"135","Mental health-related presentations","Victoria","Number","3","2020",16342,2020.5,"Q3 2020"
"136","Mental health-related presentations","Victoria","Number","3","2021",15066,2021.5,"Q3 2021"
"137","Mental health-related presentations","Victoria","Number","4","2014",12403,2014.75,"Q4 2014"
"138","Mental health-related presentations","Victoria","Number","4","2015",13767,2015.75,"Q4 2015"
"139","Mental health-related presentations","Victoria","Number","4","2016",13726,2016.75,"Q4 2016"
"140","Mental health-related presentations","Victoria","Number","4","2017",15041,2017.75,"Q4 2017"
"141","Mental health-related presentations","Victoria","Number","4","2018",16115,2018.75,"Q4 2018"
"142","Mental health-related presentations","Victoria","Number","4","2019",17060,2019.75,"Q4 2019"
"143","Mental health-related presentations","Victoria","Number","4","2020",17639,2020.75,"Q4 2020"
"144","Mental health-related presentations","Victoria","Number","4","2021",15052,2021.75,"Q4 2021"
"145","Mental health-related presentations","Victoria","Number","1","2014",12849,2014,"Q1 2014"
"146","Mental health-related presentations","Victoria","Number","1","2015",13635,2015,"Q1 2015"
"147","Mental health-related presentations","Victoria","Number","1","2016",14329,2016,"Q1 2016"
"148","Mental health-related presentations","Victoria","Number","1","2017",14438,2017,"Q1 2017"
"149","Mental health-related presentations","Victoria","Number","1","2018",16345,2018,"Q1 2018"
"150","Mental health-related presentations","Victoria","Number","1","2019",16560,2019,"Q1 2019"
"151","Mental health-related presentations","Victoria","Number","1","2020",16425,2020,"Q1 2020"
"152","Mental health-related presentations","Victoria","Number","1","2021",14755,2021,"Q1 2021"
"153","Mental health-related presentations","Victoria","Number","2","2014",12330,2014.25,"Q2 2014"
"154","Mental health-related presentations","Victoria","Number","2","2015",13012,2015.25,"Q2 2015"
"155","Mental health-related presentations","Victoria","Number","2","2016",13338,2016.25,"Q2 2016"
"156","Mental health-related presentations","Victoria","Number","2","2017",14339,2017.25,"Q2 2017"
"157","Mental health-related presentations","Victoria","Number","2","2018",15450,2018.25,"Q2 2018"
"158","Mental health-related presentations","Victoria","Number","2","2019",15460,2019.25,"Q2 2019"
"159","Mental health-related presentations","Victoria","Number","2","2020",15759,2020.25,"Q2 2020"
"160","Mental health-related presentations","Victoria","Number","2","2021",13589,2021.25,"Q2 2021"
"161","Mental health-related presentations","Victoria","Per cent","3","2014",23,2014.5,"Q3 2014"
"162","Mental health-related presentations","Victoria","Per cent","3","2015",24,2015.5,"Q3 2015"
"163","Mental health-related presentations","Victoria","Per cent","3","2016",24,2016.5,"Q3 2016"
"164","Mental health-related presentations","Victoria","Per cent","3","2017",24,2017.5,"Q3 2017"
"165","Mental health-related presentations","Victoria","Per cent","3","2018",24,2018.5,"Q3 2018"
"166","Mental health-related presentations","Victoria","Per cent","3","2019",24,2019.5,"Q3 2019"
"167","Mental health-related presentations","Victoria","Per cent","3","2020",25,2020.5,"Q3 2020"
"168","Mental health-related presentations","Victoria","Per cent","3","2021",26,2021.5,"Q3 2021"
"169","Mental health-related presentations","Victoria","Per cent","4","2014",25,2014.75,"Q4 2014"
"170","Mental health-related presentations","Victoria","Per cent","4","2015",26,2015.75,"Q4 2015"
"171","Mental health-related presentations","Victoria","Per cent","4","2016",25,2016.75,"Q4 2016"
"172","Mental health-related presentations","Victoria","Per cent","4","2017",26,2017.75,"Q4 2017"
"173","Mental health-related presentations","Victoria","Per cent","4","2018",26,2018.75,"Q4 2018"
"174","Mental health-related presentations","Victoria","Per cent","4","2019",26,2019.75,"Q4 2019"
"175","Mental health-related presentations","Victoria","Per cent","4","2020",27,2020.75,"Q4 2020"
"176","Mental health-related presentations","Victoria","Per cent","4","2021",26,2021.75,"Q4 2021"
"177","Mental health-related presentations","Victoria","Per cent","1","2014",26,2014,"Q1 2014"
"178","Mental health-related presentations","Victoria","Per cent","1","2015",26,2015,"Q1 2015"
"179","Mental health-related presentations","Victoria","Per cent","1","2016",26,2016,"Q1 2016"
"180","Mental health-related presentations","Victoria","Per cent","1","2017",25,2017,"Q1 2017"
"181","Mental health-related presentations","Victoria","Per cent","1","2018",26,2018,"Q1 2018"
"182","Mental health-related presentations","Victoria","Per cent","1","2019",25,2019,"Q1 2019"
"183","Mental health-related presentations","Victoria","Per cent","1","2020",25,2020,"Q1 2020"
"184","Mental health-related presentations","Victoria","Per cent","1","2021",25,2021,"Q1 2021"
"185","Mental health-related presentations","Victoria","Per cent","2","2014",25,2014.25,"Q2 2014"
"186","Mental health-related presentations","Victoria","Per cent","2","2015",24,2015.25,"Q2 2015"
"187","Mental health-related presentations","Victoria","Per cent","2","2016",25,2016.25,"Q2 2016"
"188","Mental health-related presentations","Victoria","Per cent","2","2017",25,2017.25,"Q2 2017"
"189","Mental health-related presentations","Victoria","Per cent","2","2018",24,2018.25,"Q2 2018"
"190","Mental health-related presentations","Victoria","Per cent","2","2019",24,2019.25,"Q2 2019"
"191","Mental health-related presentations","Victoria","Per cent","2","2020",24,2020.25,"Q2 2020"
"192","Mental health-related presentations","Victoria","Per cent","2","2021",23,2021.25,"Q2 2021"
"193","Mental health-related presentations","Queensland","Number","3","2014",12958,2014.5,"Q3 2014"
"194","Mental health-related presentations","Queensland","Number","3","2015",13245,2015.5,"Q3 2015"
"195","Mental health-related presentations","Queensland","Number","3","2016",13801,2016.5,"Q3 2016"
"196","Mental health-related presentations","Queensland","Number","3","2017",13647,2017.5,"Q3 2017"
"197","Mental health-related presentations","Queensland","Number","3","2018",14391,2018.5,"Q3 2018"
"198","Mental health-related presentations","Queensland","Number","3","2019",15343,2019.5,"Q3 2019"
"199","Mental health-related presentations","Queensland","Number","3","2020",16169,2020.5,"Q3 2020"
"200","Mental health-related presentations","Queensland","Number","3","2021",15458,2021.5,"Q3 2021"
"201","Mental health-related presentations","Queensland","Number","4","2014",14921,2014.75,"Q4 2014"
"202","Mental health-related presentations","Queensland","Number","4","2015",14991,2015.75,"Q4 2015"
"203","Mental health-related presentations","Queensland","Number","4","2016",14497,2016.75,"Q4 2016"
"204","Mental health-related presentations","Queensland","Number","4","2017",15051,2017.75,"Q4 2017"
"205","Mental health-related presentations","Queensland","Number","4","2018",15678,2018.75,"Q4 2018"
"206","Mental health-related presentations","Queensland","Number","4","2019",17409,2019.75,"Q4 2019"
"207","Mental health-related presentations","Queensland","Number","4","2020",16775,2020.75,"Q4 2020"
"208","Mental health-related presentations","Queensland","Number","4","2021",16396,2021.75,"Q4 2021"
"209","Mental health-related presentations","Queensland","Number","1","2014",13984,2014,"Q1 2014"
"210","Mental health-related presentations","Queensland","Number","1","2015",14569,2015,"Q1 2015"
"211","Mental health-related presentations","Queensland","Number","1","2016",14278,2016,"Q1 2016"
"212","Mental health-related presentations","Queensland","Number","1","2017",14451,2017,"Q1 2017"
"213","Mental health-related presentations","Queensland","Number","1","2018",15194,2018,"Q1 2018"
"214","Mental health-related presentations","Queensland","Number","1","2019",17301,2019,"Q1 2019"
"215","Mental health-related presentations","Queensland","Number","1","2020",16515,2020,"Q1 2020"
"216","Mental health-related presentations","Queensland","Number","1","2021",14847,2021,"Q1 2021"
"217","Mental health-related presentations","Queensland","Number","2","2014",13060,2014.25,"Q2 2014"
"218","Mental health-related presentations","Queensland","Number","2","2015",14160,2015.25,"Q2 2015"
"219","Mental health-related presentations","Queensland","Number","2","2016",13590,2016.25,"Q2 2016"
"220","Mental health-related presentations","Queensland","Number","2","2017",13873,2017.25,"Q2 2017"
"221","Mental health-related presentations","Queensland","Number","2","2018",14323,2018.25,"Q2 2018"
"222","Mental health-related presentations","Queensland","Number","2","2019",15749,2019.25,"Q2 2019"
"223","Mental health-related presentations","Queensland","Number","2","2020",15811,2020.25,"Q2 2020"
"224","Mental health-related presentations","Queensland","Number","2","2021",14847,2021.25,"Q2 2021"
"225","Mental health-related presentations","Queensland","Per cent","3","2014",24,2014.5,"Q3 2014"
"226","Mental health-related presentations","Queensland","Per cent","3","2015",23,2015.5,"Q3 2015"
"227","Mental health-related presentations","Queensland","Per cent","3","2016",25,2016.5,"Q3 2016"
"228","Mental health-related presentations","Queensland","Per cent","3","2017",24,2017.5,"Q3 2017"
"229","Mental health-related presentations","Queensland","Per cent","3","2018",24,2018.5,"Q3 2018"
"230","Mental health-related presentations","Queensland","Per cent","3","2019",23,2019.5,"Q3 2019"
"231","Mental health-related presentations","Queensland","Per cent","3","2020",25,2020.5,"Q3 2020"
"232","Mental health-related presentations","Queensland","Per cent","3","2021",25,2021.5,"Q3 2021"
"233","Mental health-related presentations","Queensland","Per cent","4","2014",27,2014.75,"Q4 2014"
"234","Mental health-related presentations","Queensland","Per cent","4","2015",26,2015.75,"Q4 2015"
"235","Mental health-related presentations","Queensland","Per cent","4","2016",26,2016.75,"Q4 2016"
"236","Mental health-related presentations","Queensland","Per cent","4","2017",26,2017.75,"Q4 2017"
"237","Mental health-related presentations","Queensland","Per cent","4","2018",26,2018.75,"Q4 2018"
"238","Mental health-related presentations","Queensland","Per cent","4","2019",26,2019.75,"Q4 2019"
"239","Mental health-related presentations","Queensland","Per cent","4","2020",26,2020.75,"Q4 2020"
"240","Mental health-related presentations","Queensland","Per cent","4","2021",27,2021.75,"Q4 2021"
"241","Mental health-related presentations","Queensland","Per cent","1","2014",25,2014,"Q1 2014"
"242","Mental health-related presentations","Queensland","Per cent","1","2015",26,2015,"Q1 2015"
"243","Mental health-related presentations","Queensland","Per cent","1","2016",25,2016,"Q1 2016"
"244","Mental health-related presentations","Queensland","Per cent","1","2017",25,2017,"Q1 2017"
"245","Mental health-related presentations","Queensland","Per cent","1","2018",25,2018,"Q1 2018"
"246","Mental health-related presentations","Queensland","Per cent","1","2019",26,2019,"Q1 2019"
"247","Mental health-related presentations","Queensland","Per cent","1","2020",25,2020,"Q1 2020"
"248","Mental health-related presentations","Queensland","Per cent","1","2021",24,2021,"Q1 2021"
