"Type","Location","Count","Quarter","Year","Value","Time_Number","Time_String"
"Mental health-related presentations","Australia","Number","3","2014",59028,2014.5,"Q3 2014"
"Mental health-related presentations","Australia","Number","3","2015",64627,2015.5,"Q3 2015"
"Mental health-related presentations","Australia","Number","3","2016",66986,2016.5,"Q3 2016"
"Mental health-related presentations","Australia","Number","3","2017",68152,2017.5,"Q3 2017"
"Mental health-related presentations","Australia","Number","3","2018",72903,2018.5,"Q3 2018"
"Mental health-related presentations","Australia","Number","3","2019",76500,2019.5,"Q3 2019"
"Mental health-related presentations","Australia","Number","3","2020",77811,2020.5,"Q3 2020"
"Mental health-related presentations","Australia","Number","3","2021",70657,2021.5,"Q3 2021"
"Mental health-related presentations","Australia","Number","4","2014",66862,2014.75,"Q4 2014"
"Mental health-related presentations","Australia","Number","4","2015",72431,2015.75,"Q4 2015"
"Mental health-related presentations","Australia","Number","4","2016",71056,2016.75,"Q4 2016"
"Mental health-related presentations","Australia","Number","4","2017",74523,2017.75,"Q4 2017"
"Mental health-related presentations","Australia","Number","4","2018",78319,2018.75,"Q4 2018"
"Mental health-related presentations","Australia","Number","4","2019",82004,2019.75,"Q4 2019"
"Mental health-related presentations","Australia","Number","4","2020",79879,2020.75,"Q4 2020"
"Mental health-related presentations","Australia","Number","4","2021",74527,2021.75,"Q4 2021"
"Mental health-related presentations","Australia","Number","1","2014",66364,2014,"Q1 2014"
"Mental health-related presentations","Australia","Number","1","2015",72290,2015,"Q1 2015"
"Mental health-related presentations","Australia","Number","1","2016",71419,2016,"Q1 2016"
"Mental health-related presentations","Australia","Number","1","2017",73913,2017,"Q1 2017"
"Mental health-related presentations","Australia","Number","1","2018",78553,2018,"Q1 2018"
"Mental health-related presentations","Australia","Number","1","2019",80173,2019,"Q1 2019"
"Mental health-related presentations","Australia","Number","1","2020",77913,2020,"Q1 2020"
"Mental health-related presentations","Australia","Number","1","2021",69063,2021,"Q1 2021"
"Mental health-related presentations","Australia","Number","2","2014",62647,2014.25,"Q2 2014"
"Mental health-related presentations","Australia","Number","2","2015",68328,2015.25,"Q2 2015"
"Mental health-related presentations","Australia","Number","2","2016",67493,2016.25,"Q2 2016"
"Mental health-related presentations","Australia","Number","2","2017",70397,2017.25,"Q2 2017"
"Mental health-related presentations","Australia","Number","2","2018",73565,2018.25,"Q2 2018"
"Mental health-related presentations","Australia","Number","2","2019",71794,2019.25,"Q2 2019"
"Mental health-related presentations","Australia","Number","2","2020",74054,2020.25,"Q2 2020"
"Mental health-related presentations","Australia","Number","2","2021",65929,2021.25,"Q2 2021"
"Mental health-related presentations","Australia","Per cent","3","2014",23,2014.5,"Q3 2014"
"Mental health-related presentations","Australia","Per cent","3","2015",23,2015.5,"Q3 2015"
"Mental health-related presentations","Australia","Per cent","3","2016",24,2016.5,"Q3 2016"
"Mental health-related presentations","Australia","Per cent","3","2017",24,2017.5,"Q3 2017"
"Mental health-related presentations","Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"Mental health-related presentations","Australia","Per cent","3","2019",25,2019.5,"Q3 2019"
"Mental health-related presentations","Australia","Per cent","3","2020",25,2020.5,"Q3 2020"
"Mental health-related presentations","Australia","Per cent","3","2021",25,2021.5,"Q3 2021"
"Mental health-related presentations","Australia","Per cent","4","2014",26,2014.75,"Q4 2014"
"Mental health-related presentations","Australia","Per cent","4","2015",26,2015.75,"Q4 2015"
"Mental health-related presentations","Australia","Per cent","4","2016",26,2016.75,"Q4 2016"
"Mental health-related presentations","Australia","Per cent","4","2017",26,2017.75,"Q4 2017"
"Mental health-related presentations","Australia","Per cent","4","2018",26,2018.75,"Q4 2018"
"Mental health-related presentations","Australia","Per cent","4","2019",26,2019.75,"Q4 2019"
"Mental health-related presentations","Australia","Per cent","4","2020",26,2020.75,"Q4 2020"
"Mental health-related presentations","Australia","Per cent","4","2021",27,2021.75,"Q4 2021"
"Mental health-related presentations","Australia","Per cent","1","2014",26,2014,"Q1 2014"
"Mental health-related presentations","Australia","Per cent","1","2015",26,2015,"Q1 2015"
"Mental health-related presentations","Australia","Per cent","1","2016",26,2016,"Q1 2016"
"Mental health-related presentations","Australia","Per cent","1","2017",26,2017,"Q1 2017"
"Mental health-related presentations","Australia","Per cent","1","2018",26,2018,"Q1 2018"
"Mental health-related presentations","Australia","Per cent","1","2019",26,2019,"Q1 2019"
"Mental health-related presentations","Australia","Per cent","1","2020",25,2020,"Q1 2020"
"Mental health-related presentations","Australia","Per cent","1","2021",25,2021,"Q1 2021"
"Mental health-related presentations","Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
